Train_Acc,Test_Acc,Train_Loss,Test_Loss,model
-0.2522386986298308,-0.2209997676061759,0.98185796,"tensor(1.0389, grad_fn=<DivBackward0>)",dcrnn_2_layer
-0.24676514256224186,-0.22574665545565295,0.97866607,"tensor(1.0404, grad_fn=<DivBackward0>)",
-0.24962113208345052,-0.24182479598239467,0.97105235,"tensor(1.0437, grad_fn=<DivBackward0>)",
-0.25345785932432746,-0.2644345925985931,0.9607538,"tensor(1.0464, grad_fn=<DivBackward0>)",
-0.25623835640573944,-0.2898659458986911,0.94850916,"tensor(1.0510, grad_fn=<DivBackward0>)",
-0.2604395706837546,-0.30997538624349197,0.93745244,"tensor(1.0602, grad_fn=<DivBackward0>)",
-0.24578438363431646,-0.30270947248648,0.9306651,"tensor(1.0635, grad_fn=<DivBackward0>)",
-0.2201717639747038,-0.2685192975987064,0.92696565,"tensor(1.0566, grad_fn=<DivBackward0>)",
-0.1946539875996103,-0.23549317156143004,0.9229242,"tensor(1.0428, grad_fn=<DivBackward0>)",
-0.1842896409755725,-0.2195191543098234,0.9183969,"tensor(1.0321, grad_fn=<DivBackward0>)",
-0.1812451643917436,-0.2143810483842043,0.9154832,"tensor(1.0270, grad_fn=<DivBackward0>)",
-0.1872692454675522,-0.22366073511392257,0.9136023,"tensor(1.0257, grad_fn=<DivBackward0>)",
-0.19649915458115128,-0.2393706835570652,0.9116082,"tensor(1.0268, grad_fn=<DivBackward0>)",
-0.20192387188116273,-0.24993982848214624,0.9092089,"tensor(1.0288, grad_fn=<DivBackward0>)",
-0.20412555334955404,-0.25681410925991544,0.90648496,"tensor(1.0307, grad_fn=<DivBackward0>)",
-0.20388202082353324,-0.25975430269117006,0.90377724,"tensor(1.0321, grad_fn=<DivBackward0>)",
-0.20218872692026918,-0.25745048944686766,0.9012726,"tensor(1.0330, grad_fn=<DivBackward0>)",
-0.20213263675707233,-0.2577884611362328,0.8989529,"tensor(1.0329, grad_fn=<DivBackward0>)",
-0.20452314335239802,-0.2620337496953643,0.89657927,"tensor(1.0324, grad_fn=<DivBackward0>)",
-0.20503864527303242,-0.2646682396323149,0.8941917,"tensor(1.0327, grad_fn=<DivBackward0>)",
-0.20493254631960678,-0.27008105293167506,0.8919696,"tensor(1.0342, grad_fn=<DivBackward0>)",
-0.20138133872253125,-0.2743574870019765,0.8898618,"tensor(1.0365, grad_fn=<DivBackward0>)",
-0.19452208994791773,-0.27254032442217185,0.8877656,"tensor(1.0391, grad_fn=<DivBackward0>)",
-0.18773533632131661,-0.2743206024064133,0.8856751,"tensor(1.0413, grad_fn=<DivBackward0>)",
-0.1837706750657021,-0.2768340867110821,0.88356405,"tensor(1.0429, grad_fn=<DivBackward0>)",
-0.1838596909777822,-0.2828610727947364,0.8814476,"tensor(1.0435, grad_fn=<DivBackward0>)",
-0.1867401362896006,-0.28995047810022123,0.87945163,"tensor(1.0429, grad_fn=<DivBackward0>)",
-0.18602903378587982,-0.29223543837851673,0.8775863,"tensor(1.0416, grad_fn=<DivBackward0>)",
-0.18429840610553633,-0.29617121746765096,0.87566507,"tensor(1.0411, grad_fn=<DivBackward0>)",
-0.18049710901628235,-0.29763009825660053,0.87383324,"tensor(1.0428, grad_fn=<DivBackward0>)",
-0.1794134674802288,-0.31021763644520556,0.87225074,"tensor(1.0449, grad_fn=<DivBackward0>)",
-0.18562283286230322,-0.2998304532069578,0.87135494,"tensor(1.0489, grad_fn=<DivBackward0>)",
-0.1894543482644098,-0.32787905427664554,0.87316185,"tensor(1.0461, grad_fn=<DivBackward0>)",
-0.17332782379584608,-0.3044487446174109,0.871217,"tensor(1.0401, grad_fn=<DivBackward0>)",
-0.1744512266566979,-0.28840574665909097,0.86670965,"tensor(1.0412, grad_fn=<DivBackward0>)",
-0.16304719925582956,-0.29411321232427307,0.8687212,"tensor(1.0371, grad_fn=<DivBackward0>)",
-0.17230047227388826,-0.31454379163901414,0.8642627,"tensor(1.0404, grad_fn=<DivBackward0>)",
-0.15835348525204182,-0.29575774381596287,0.8657173,"tensor(1.0402, grad_fn=<DivBackward0>)",
-0.1608341520293082,-0.29371972409692604,0.8621147,"tensor(1.0435, grad_fn=<DivBackward0>)",
-0.1557283325691387,-0.3084844173521895,0.8630481,"tensor(1.0432, grad_fn=<DivBackward0>)",
-0.1622996303496366,-0.31961840347669107,0.8600718,"tensor(1.0452, grad_fn=<DivBackward0>)",
-0.15642658452905508,-0.3003002782770906,0.8605529,"tensor(1.0423, grad_fn=<DivBackward0>)",
-0.16020179275597138,-0.30154683058506154,0.85808283,"tensor(1.0430, grad_fn=<DivBackward0>)",
-0.16499169957788878,-0.3227686075279959,0.8580592,"tensor(1.0438, grad_fn=<DivBackward0>)",
