Train_Acc,Test_Acc,Train_Loss,Test_Loss,model
-0.26996430479358513,-0.23103011571284426,0.98328316,"tensor(1.0399, grad_fn=<DivBackward0>)",gcgru_3_layer
-0.2599417643746047,-0.22504647793966112,0.9813343,"tensor(1.0392, grad_fn=<DivBackward0>)",
-0.2480090423252047,-0.2181593421247703,0.9794273,"tensor(1.0381, grad_fn=<DivBackward0>)",
-0.24018122960976993,-0.2143321517498163,0.976997,"tensor(1.0371, grad_fn=<DivBackward0>)",
-0.23413447852647343,-0.21230510083988532,0.97400314,"tensor(1.0361, grad_fn=<DivBackward0>)",
-0.22809943977622865,-0.21065367018815304,0.96992314,"tensor(1.0348, grad_fn=<DivBackward0>)",
-0.227843313513171,-0.21263950762883832,0.9643388,"tensor(1.0340, grad_fn=<DivBackward0>)",
-0.23946849603045017,-0.22021306729162138,0.95770425,"tensor(1.0343, grad_fn=<DivBackward0>)",
-0.2530310978878019,-0.2267357753728226,0.95066774,"tensor(1.0358, grad_fn=<DivBackward0>)",
-0.27638400231375065,-0.23829658635235249,0.9434246,"tensor(1.0399, grad_fn=<DivBackward0>)",
-0.30916322758564085,-0.2524066517625442,0.9378814,"tensor(1.0463, grad_fn=<DivBackward0>)",
-0.32013727828316507,-0.2528366625564734,0.9345746,"tensor(1.0509, grad_fn=<DivBackward0>)",
-0.2977044913052292,-0.24731933549008886,0.9322932,"tensor(1.0498, grad_fn=<DivBackward0>)",
-0.2588092280498141,-0.22596946553346436,0.9283946,"tensor(1.0440, grad_fn=<DivBackward0>)",
-0.22412737394718432,-0.20817778470321122,0.92385626,"tensor(1.0368, grad_fn=<DivBackward0>)",
-0.21140409993197387,-0.21068763431711063,0.92041504,"tensor(1.0315, grad_fn=<DivBackward0>)",
-0.1997109937977428,-0.2083063614597239,0.9180801,"tensor(1.0278, grad_fn=<DivBackward0>)",
-0.19404196082418376,-0.20922658726832008,0.9163209,"tensor(1.0263, grad_fn=<DivBackward0>)",
-0.2021784346411665,-0.22423695179570932,0.91451246,"tensor(1.0275, grad_fn=<DivBackward0>)",
-0.20503597439416896,-0.2321873913761473,0.9121506,"tensor(1.0298, grad_fn=<DivBackward0>)",
-0.20482652915988636,-0.23363049776456235,0.9097505,"tensor(1.0326, grad_fn=<DivBackward0>)",
-0.2159099534034537,-0.24781945067217054,0.9076464,"tensor(1.0364, grad_fn=<DivBackward0>)",
-0.2175942783733416,-0.24959020082614874,0.90552616,"tensor(1.0379, grad_fn=<DivBackward0>)",
-0.2169954260796671,-0.24818408888067514,0.90335023,"tensor(1.0377, grad_fn=<DivBackward0>)",
-0.22198009302707092,-0.25817587022044985,0.90129715,"tensor(1.0373, grad_fn=<DivBackward0>)",
-0.21546568730780247,-0.25398447668565066,0.89928716,"tensor(1.0353, grad_fn=<DivBackward0>)",
-0.21298291301152125,-0.2567015183622397,0.89733446,"tensor(1.0346, grad_fn=<DivBackward0>)",
-0.21508660264728133,-0.2654005366269967,0.8954573,"tensor(1.0355, grad_fn=<DivBackward0>)",
-0.2071512987493907,-0.2625073060670949,0.8936848,"tensor(1.0370, grad_fn=<DivBackward0>)",
-0.20803992352800516,-0.2713773794335183,0.89190257,"tensor(1.0396, grad_fn=<DivBackward0>)",
-0.20162894445986906,-0.270722855687591,0.890012,"tensor(1.0415, grad_fn=<DivBackward0>)",
-0.1957248180709499,-0.26963903311875925,0.8880534,"tensor(1.0430, grad_fn=<DivBackward0>)",
-0.19337847062625171,-0.27400124464426534,0.8861407,"tensor(1.0443, grad_fn=<DivBackward0>)",
-0.1862737170160053,-0.2657689931906233,0.88440746,"tensor(1.0450, grad_fn=<DivBackward0>)",
-0.18954494209807546,-0.27793449928370845,0.88282436,"tensor(1.0464, grad_fn=<DivBackward0>)",
-0.17866666165419187,-0.25857728514293754,0.8813222,"tensor(1.0471, grad_fn=<DivBackward0>)",
-0.194238570381964,-0.2865713351288218,0.88005537,"tensor(1.0484, grad_fn=<DivBackward0>)",
-0.1723270598752943,-0.2591103212690168,0.87867737,"tensor(1.0477, grad_fn=<DivBackward0>)",
-0.17382171752153158,-0.2671045342765397,0.876499,"tensor(1.0475, grad_fn=<DivBackward0>)",
-0.18240655492722502,-0.28186557748474916,0.8743938,"tensor(1.0483, grad_fn=<DivBackward0>)",
-0.16740528139533603,-0.26186104824861023,0.87319577,"tensor(1.0486, grad_fn=<DivBackward0>)",
-0.17185929103772124,-0.2803134900814651,0.87188935,"tensor(1.0487, grad_fn=<DivBackward0>)",
-0.16718837095597047,-0.2791222891322576,0.86994547,"tensor(1.0489, grad_fn=<DivBackward0>)",
-0.16565084129687324,-0.2727992540646453,0.8683848,"tensor(1.0496, grad_fn=<DivBackward0>)",
-0.17001588295547693,-0.2938182074584146,0.8674329,"tensor(1.0503, grad_fn=<DivBackward0>)",
-0.16451228751813796,-0.28163195243765465,0.86606973,"tensor(1.0495, grad_fn=<DivBackward0>)",
-0.16359598786216273,-0.28590059456024325,0.86424994,"tensor(1.0492, grad_fn=<DivBackward0>)",
-0.1656793731289252,-0.29695791845214,0.8626604,"tensor(1.0499, grad_fn=<DivBackward0>)",
-0.1610705435396787,-0.2829870297449562,0.8615228,"tensor(1.0506, grad_fn=<DivBackward0>)",
-0.16602974718419017,-0.3066163595535518,0.860494,"tensor(1.0513, grad_fn=<DivBackward0>)",
-0.15561795694160663,-0.28645927260388854,0.85918343,"tensor(1.0506, grad_fn=<DivBackward0>)",
-0.15522028042745867,-0.2980580916521328,0.8574515,"tensor(1.0499, grad_fn=<DivBackward0>)",
-0.15207067515299658,-0.2965469748926889,0.8556606,"tensor(1.0500, grad_fn=<DivBackward0>)",
-0.15009329856482803,-0.2917644683411279,0.8542362,"tensor(1.0509, grad_fn=<DivBackward0>)",
-0.15519900894168576,-0.31147645044203864,0.85315263,"tensor(1.0526, grad_fn=<DivBackward0>)",
-0.15241818581386138,-0.2922152297226176,0.85234964,"tensor(1.0528, grad_fn=<DivBackward0>)",
-0.15863563119550944,-0.3231574742372639,0.8516709,"tensor(1.0537, grad_fn=<DivBackward0>)",
-0.1506796375156761,-0.2981327094512544,0.85076296,"tensor(1.0520, grad_fn=<DivBackward0>)",
-0.14911111922114964,-0.31470439515120696,0.8490166,"tensor(1.0518, grad_fn=<DivBackward0>)",
-0.14844905508940176,-0.3174364252860724,0.8471054,"tensor(1.0521, grad_fn=<DivBackward0>)",
-0.15031945635462776,-0.3119990801498965,0.84594554,"tensor(1.0529, grad_fn=<DivBackward0>)",
-0.15665742845638458,-0.3404121262112849,0.8455158,"tensor(1.0551, grad_fn=<DivBackward0>)",
-0.15438733529757256,-0.31928076186020693,0.845109,"tensor(1.0549, grad_fn=<DivBackward0>)",
-0.14964078388966776,-0.33854980296570325,0.84392554,"tensor(1.0559, grad_fn=<DivBackward0>)",
-0.14555644227713924,-0.3325843933205121,0.8421517,"tensor(1.0567, grad_fn=<DivBackward0>)",
-0.14514912272009553,-0.3306190160684872,0.84069294,"tensor(1.0586, grad_fn=<DivBackward0>)",
-0.1472338588204312,-0.35223512473826124,0.8401279,"tensor(1.0607, grad_fn=<DivBackward0>)",
-0.1482046337658025,-0.33109221726201354,0.8399249,"tensor(1.0608, grad_fn=<DivBackward0>)",
-0.1448706986137274,-0.3515173221164444,0.83933026,"tensor(1.0611, grad_fn=<DivBackward0>)",
-0.1417348193728974,-0.33755535350200405,0.8380172,"tensor(1.0609, grad_fn=<DivBackward0>)",
-0.1409277019436824,-0.34152730708582074,0.8364781,"tensor(1.0623, grad_fn=<DivBackward0>)",
-0.14260196058763586,-0.3570480781791712,0.83558035,"tensor(1.0643, grad_fn=<DivBackward0>)",
-0.14647512183297004,-0.3437266289949893,0.835296,"tensor(1.0657, grad_fn=<DivBackward0>)",
-0.14473581922974346,-0.3665463621043145,0.83506894,"tensor(1.0662, grad_fn=<DivBackward0>)",
-0.14377192817227535,-0.34827293180790386,0.83443666,"tensor(1.0659, grad_fn=<DivBackward0>)",
-0.13726021434167637,-0.35832550239229105,0.8330481,"tensor(1.0669, grad_fn=<DivBackward0>)",
-0.135679222178953,-0.36426491617370904,0.8316995,"tensor(1.0687, grad_fn=<DivBackward0>)",
-0.13798459935073984,-0.35620484252843587,0.8311384,"tensor(1.0702, grad_fn=<DivBackward0>)",
-0.13826025634160707,-0.37709270481846796,0.8310631,"tensor(1.0710, grad_fn=<DivBackward0>)",
-0.13764179412186478,-0.3571852131829245,0.83082193,"tensor(1.0705, grad_fn=<DivBackward0>)",
-0.13216034645402952,-0.36987572824939347,0.8298615,"tensor(1.0705, grad_fn=<DivBackward0>)",
-0.13024343234366137,-0.3671181573088063,0.8285591,"tensor(1.0714, grad_fn=<DivBackward0>)",
-0.13141442410466178,-0.3651951939732039,0.82765174,"tensor(1.0729, grad_fn=<DivBackward0>)",
-0.13240312473951835,-0.38119603152663445,0.82729083,"tensor(1.0741, grad_fn=<DivBackward0>)",
-0.1345370131379347,-0.3650324470399351,0.8271245,"tensor(1.0746, grad_fn=<DivBackward0>)",
-0.13086748107684879,-0.3792224894438831,0.82669014,"tensor(1.0738, grad_fn=<DivBackward0>)",
-0.12967620077245517,-0.36619662171019735,0.82582206,"tensor(1.0735, grad_fn=<DivBackward0>)",
-0.12742273142580843,-0.37242752553521097,0.8247933,"tensor(1.0736, grad_fn=<DivBackward0>)",
-0.12826760113247782,-0.3782710881805698,0.82391924,"tensor(1.0741, grad_fn=<DivBackward0>)",
-0.13210864396645966,-0.3732295819533319,0.8234523,"tensor(1.0751, grad_fn=<DivBackward0>)",
-0.12863260100373242,-0.38730756440091313,0.82325095,"tensor(1.0752, grad_fn=<DivBackward0>)",
-0.1293336363497536,-0.3709138793976779,0.8229758,"tensor(1.0762, grad_fn=<DivBackward0>)",
-0.12470223566218588,-0.3859656284181219,0.8226439,"tensor(1.0753, grad_fn=<DivBackward0>)",
-0.12671466756620564,-0.37006397747360553,0.82208365,"tensor(1.0760, grad_fn=<DivBackward0>)",
-0.12256269201621822,-0.3815368525578903,0.8212582,"tensor(1.0756, grad_fn=<DivBackward0>)",
-0.12262699903529227,-0.3773955079538863,0.82029927,"tensor(1.0773, grad_fn=<DivBackward0>)",
-0.12129297972568256,-0.37861066441720564,0.81946766,"tensor(1.0786, grad_fn=<DivBackward0>)",
-0.120307725945404,-0.3826390110811914,0.81891,"tensor(1.0786, grad_fn=<DivBackward0>)",
-0.12469513319004337,-0.3727133521131816,0.81856376,"tensor(1.0796, grad_fn=<DivBackward0>)",
-0.12329519026801404,-0.388739219871997,0.8184393,"tensor(1.0785, grad_fn=<DivBackward0>)",
-0.13068812540609412,-0.37182713104168963,0.81856257,"tensor(1.0813, grad_fn=<DivBackward0>)",
-0.12771208149250488,-0.398529394165175,0.8188973,"tensor(1.0800, grad_fn=<DivBackward0>)",
-0.13097919581945186,-0.3716774737765265,0.8191899,"tensor(1.0822, grad_fn=<DivBackward0>)",
-0.12168548792154323,-0.3882696036353158,0.818313,"tensor(1.0798, grad_fn=<DivBackward0>)",
-0.11870824482952509,-0.37928371233878244,0.81637913,"tensor(1.0810, grad_fn=<DivBackward0>)",
-0.12040607634312078,-0.3768911904321252,0.8150048,"tensor(1.0836, grad_fn=<DivBackward0>)",
-0.12347849014272169,-0.3983760288347121,0.81516874,"tensor(1.0833, grad_fn=<DivBackward0>)",
-0.12551690065212287,-0.37549819689513125,0.81596583,"tensor(1.0858, grad_fn=<DivBackward0>)",
-0.12023746182261642,-0.3925589358587299,0.81579506,"tensor(1.0824, grad_fn=<DivBackward0>)",
-0.11795911998865047,-0.3822031228412198,0.8143878,"tensor(1.0836, grad_fn=<DivBackward0>)",
-0.11902709985072393,-0.3842553736422016,0.8129808,"tensor(1.0860, grad_fn=<DivBackward0>)",
-0.12118302194309505,-0.40422872237775515,0.812876,"tensor(1.0865, grad_fn=<DivBackward0>)",
-0.12411982228828705,-0.3848775070795668,0.8133819,"tensor(1.0885, grad_fn=<DivBackward0>)",
-0.12019579508398158,-0.3970541808917121,0.8131759,"tensor(1.0851, grad_fn=<DivBackward0>)",
-0.11792637024791257,-0.3853203023126762,0.81211483,"tensor(1.0855, grad_fn=<DivBackward0>)",
-0.11668685446636727,-0.38468949148900433,0.8110345,"tensor(1.0872, grad_fn=<DivBackward0>)",
-0.11676990963050389,-0.3985818555052697,0.8107994,"tensor(1.0877, grad_fn=<DivBackward0>)",
-0.1187568977271877,-0.3830982141701594,0.81108755,"tensor(1.0904, grad_fn=<DivBackward0>)",
-0.11738759587210224,-0.3975185369554259,0.81100917,"tensor(1.0881, grad_fn=<DivBackward0>)",
-0.1164471169842307,-0.3862184021103325,0.8102662,"tensor(1.0891, grad_fn=<DivBackward0>)",
-0.11507004694248293,-0.38896675355330496,0.8093401,"tensor(1.0898, grad_fn=<DivBackward0>)",
-0.11542381420080665,-0.39680340767301203,0.8088318,"tensor(1.0907, grad_fn=<DivBackward0>)",
-0.11798576083459363,-0.38694883102737804,0.80883765,"tensor(1.0936, grad_fn=<DivBackward0>)",
-0.11693025815005677,-0.40162567845799535,0.8089952,"tensor(1.0918, grad_fn=<DivBackward0>)",
-0.11744778857301483,-0.3874479684736641,0.8088944,"tensor(1.0936, grad_fn=<DivBackward0>)",
-0.11373556240196922,-0.3993508260846434,0.80832905,"tensor(1.0927, grad_fn=<DivBackward0>)",
-0.11303495358032344,-0.395602188575031,0.80753875,"tensor(1.0941, grad_fn=<DivBackward0>)",
-0.11376972247065277,-0.3955284659424217,0.8069517,"tensor(1.0949, grad_fn=<DivBackward0>)",
-0.11417252225384052,-0.4029105530766361,0.80669886,"tensor(1.0949, grad_fn=<DivBackward0>)",
-0.11600901434948713,-0.39284692131401094,0.80670685,"tensor(1.0975, grad_fn=<DivBackward0>)",
-0.11452592510507062,-0.4074581163307908,0.8068048,"tensor(1.0963, grad_fn=<DivBackward0>)",
-0.11702357091102661,-0.3914426795004544,0.8068855,"tensor(1.0989, grad_fn=<DivBackward0>)",
-0.11501888342783173,-0.4068119121286108,0.80675733,"tensor(1.0966, grad_fn=<DivBackward0>)",
-0.11540258354166831,-0.39285251568106877,0.8063468,"tensor(1.0988, grad_fn=<DivBackward0>)",
-0.11197617687372761,-0.40360403828469554,0.80565363,"tensor(1.0986, grad_fn=<DivBackward0>)",
-0.11094446741485008,-0.4006748165379835,0.8049346,"tensor(1.1003, grad_fn=<DivBackward0>)",
-0.1114459607926831,-0.4014642934724549,0.80448115,"tensor(1.1008, grad_fn=<DivBackward0>)",
-0.11155990491147703,-0.4067520146804747,0.8042293,"tensor(1.1006, grad_fn=<DivBackward0>)",
-0.1123952589238261,-0.3983603341962063,0.8041774,"tensor(1.1026, grad_fn=<DivBackward0>)",
-0.11118927962896298,-0.40986429033674915,0.8041875,"tensor(1.1017, grad_fn=<DivBackward0>)",
-0.11297713310922426,-0.39385688631533633,0.8043171,"tensor(1.1043, grad_fn=<DivBackward0>)",
-0.11350552430312197,-0.41322869561357123,0.8045601,"tensor(1.1020, grad_fn=<DivBackward0>)",
-0.11632648424499453,-0.39534672370641044,0.8047315,"tensor(1.1050, grad_fn=<DivBackward0>)",
-0.11186431705207793,-0.4149385259686764,0.80459416,"tensor(1.1032, grad_fn=<DivBackward0>)",
-0.11091357955753063,-0.4005522333928008,0.8039194,"tensor(1.1053, grad_fn=<DivBackward0>)",
-0.10823274475406179,-0.40826812166737275,0.8030587,"tensor(1.1040, grad_fn=<DivBackward0>)",
-0.10835066237801244,-0.40631131352191185,0.8023298,"tensor(1.1041, grad_fn=<DivBackward0>)",
-0.10970041041620718,-0.40289816326399946,0.8020011,"tensor(1.1056, grad_fn=<DivBackward0>)",
-0.11033957479951238,-0.41540946534868006,0.8020635,"tensor(1.1052, grad_fn=<DivBackward0>)",
-0.11259521963284011,-0.4017204201270946,0.80234754,"tensor(1.1078, grad_fn=<DivBackward0>)",
