Train_Acc,Test_Acc,Train_Loss,Test_Loss,model
-0.2885254845712788,-0.2318621833430247,0.9861958,"tensor(1.0316, grad_fn=<DivBackward0>)",gcgru_1_layer
-0.2649087049961261,-0.21928275878697934,0.9732675,"tensor(1.0310, grad_fn=<DivBackward0>)",
-0.2411709803560226,-0.20861422815519148,0.96335983,"tensor(1.0313, grad_fn=<DivBackward0>)",
-0.2197626896112506,-0.20146020956741267,0.9546867,"tensor(1.0327, grad_fn=<DivBackward0>)",
-0.2031321733114711,-0.19880439891568144,0.9473743,"tensor(1.0351, grad_fn=<DivBackward0>)",
-0.1918736775474491,-0.1998619438064266,0.94147325,"tensor(1.0380, grad_fn=<DivBackward0>)",
-0.1856020399918292,-0.20276935786021466,0.93664575,"tensor(1.0407, grad_fn=<DivBackward0>)",
-0.18330719991961963,-0.20631064851330552,0.93255186,"tensor(1.0431, grad_fn=<DivBackward0>)",
-0.1837012878296298,-0.20966299839650784,0.92910373,"tensor(1.0450, grad_fn=<DivBackward0>)",
-0.18431771429102095,-0.2129348087310926,0.9263281,"tensor(1.0467, grad_fn=<DivBackward0>)",
-0.18341978208780935,-0.21574705233330577,0.9240982,"tensor(1.0478, grad_fn=<DivBackward0>)",
-0.18211215389721763,-0.21889461929199636,0.92213166,"tensor(1.0483, grad_fn=<DivBackward0>)",
-0.18305462280243007,-0.22351360552359997,0.92024523,"tensor(1.0480, grad_fn=<DivBackward0>)",
-0.18746473519878062,-0.2287468694380325,0.9184037,"tensor(1.0469, grad_fn=<DivBackward0>)",
-0.19359407159462608,-0.2327560767789627,0.91667604,"tensor(1.0452, grad_fn=<DivBackward0>)",
-0.19814029427174124,-0.23421834178110207,0.91500527,"tensor(1.0429, grad_fn=<DivBackward0>)",
-0.20045849054400844,-0.23358775183396513,0.91335464,"tensor(1.0404, grad_fn=<DivBackward0>)",
-0.2014755077609208,-0.23250034957894034,0.9117959,"tensor(1.0381, grad_fn=<DivBackward0>)",
-0.20223897457982248,-0.23238623892169952,0.91038173,"tensor(1.0363, grad_fn=<DivBackward0>)",
-0.20313457988086825,-0.2337124340602004,0.9090114,"tensor(1.0348, grad_fn=<DivBackward0>)",
-0.20375247915450667,-0.23572652779477665,0.9076278,"tensor(1.0338, grad_fn=<DivBackward0>)",
-0.2026574802279561,-0.23717639132700294,0.9062343,"tensor(1.0331, grad_fn=<DivBackward0>)",
-0.19895451274779227,-0.23686530437371517,0.9048273,"tensor(1.0325, grad_fn=<DivBackward0>)",
-0.19304738930598034,-0.23486738068447463,0.90341437,"tensor(1.0320, grad_fn=<DivBackward0>)",
-0.1864083543273898,-0.23259255279820804,0.9019773,"tensor(1.0316, grad_fn=<DivBackward0>)",
-0.1809124608390253,-0.2315354283792461,0.90055287,"tensor(1.0314, grad_fn=<DivBackward0>)",
-0.17715681593265625,-0.23251135366906178,0.8991685,"tensor(1.0314, grad_fn=<DivBackward0>)",
-0.17496064721447208,-0.2353577171663365,0.8978145,"tensor(1.0317, grad_fn=<DivBackward0>)",
