Train_Acc,Test_Acc,Train_Loss,Test_Loss,model
-0.25841459418718277,-0.22677435400693396,0.98586667,"tensor(1.0404, grad_fn=<DivBackward0>)",gcgru_2_layer
-0.2324787842998582,-0.21446243927683278,0.98031676,"tensor(1.0418, grad_fn=<DivBackward0>)",
-0.21988262137118897,-0.2036498365838408,0.9796722,"tensor(1.0411, grad_fn=<DivBackward0>)",
-0.20688657565323557,-0.19105001623055567,0.9776709,"tensor(1.0388, grad_fn=<DivBackward0>)",
-0.19929472309212162,-0.18206665220119617,0.9746407,"tensor(1.0371, grad_fn=<DivBackward0>)",
-0.1922591585197778,-0.1744279555732084,0.97234243,"tensor(1.0364, grad_fn=<DivBackward0>)",
-0.17833851739792192,-0.16296087317214156,0.97071767,"tensor(1.0362, grad_fn=<DivBackward0>)",
-0.15590016798326428,-0.14605441920315132,0.9689756,"tensor(1.0363, grad_fn=<DivBackward0>)",
-0.13291766781756573,-0.12785695169080574,0.9668862,"tensor(1.0373, grad_fn=<DivBackward0>)",
-0.11877495286633415,-0.11361086483538685,0.96519226,"tensor(1.0396, grad_fn=<DivBackward0>)",
-0.10870513457597634,-0.10288323155958574,0.9646927,"tensor(1.0412, grad_fn=<DivBackward0>)",
-0.10349828174863099,-0.09812294325555213,0.9643414,"tensor(1.0418, grad_fn=<DivBackward0>)",
-0.10812781759807277,-0.10040012971545112,0.96383286,"tensor(1.0422, grad_fn=<DivBackward0>)",
-0.10998815024790312,-0.09953062238985977,0.96368915,"tensor(1.0416, grad_fn=<DivBackward0>)",
-0.10944908273801415,-0.09644235161196969,0.9629487,"tensor(1.0404, grad_fn=<DivBackward0>)",
-0.11175783570543453,-0.09603888064839827,0.96195775,"tensor(1.0390, grad_fn=<DivBackward0>)",
-0.11515385461610164,-0.0985139351397971,0.9612786,"tensor(1.0373, grad_fn=<DivBackward0>)",
-0.11830170451770748,-0.1025360709357755,0.9606919,"tensor(1.0355, grad_fn=<DivBackward0>)",
-0.12190313560984849,-0.10725038417530187,0.96013325,"tensor(1.0342, grad_fn=<DivBackward0>)",
-0.12402850784108371,-0.11019542627457166,0.9598074,"tensor(1.0334, grad_fn=<DivBackward0>)",
-0.12273272526576377,-0.10986991799013987,0.9596005,"tensor(1.0329, grad_fn=<DivBackward0>)",
-0.11912246417249563,-0.10702417492671501,0.95928377,"tensor(1.0329, grad_fn=<DivBackward0>)",
-0.11520082643567627,-0.10355199990428593,0.9589054,"tensor(1.0332, grad_fn=<DivBackward0>)",
